time,open,high,low,close,tick_volume,spread,real_volume
2026-05-25 14:40:00,4576.05,4576.24,4574.02,4574.58,1076,5,0
2026-05-25 14:45:00,4574.58,4577.12,4571.28,4571.28,1657,5,0
2026-05-25 14:50:00,4571.28,4572.13,4570.47,4570.78,865,5,0
2026-05-25 14:55:00,4570.78,4571.24,4569.29,4569.51,982,5,0
2026-05-25 15:00:00,4569.5,4569.52,4563.87,4564.64,1905,6,0
2026-05-25 15:05:00,4564.64,4564.64,4557.21,4560.39,2085,10,0
2026-05-25 15:10:00,4560.39,4561.35,4556.12,4556.37,1720,10,0
2026-05-25 15:15:00,4556.35,4556.96,4553.93,4554.24,1444,8,0
2026-05-25 15:20:00,4554.24,4557.25,4553.05,4556.44,2037,7,0
2026-05-25 15:25:00,4556.38,4560.91,4556.22,4560.56,1254,9,0
2026-05-25 15:30:00,4560.59,4564.22,4559.95,4564.17,1414,6,0
2026-05-25 15:35:00,4564.18,4570.35,4563.34,4568.88,2193,5,0
2026-05-25 15:40:00,4568.88,4569.26,4566.47,4566.55,1825,5,0
2026-05-25 15:45:00,4566.54,4568.13,4564.3,4566.3,1711,6,0
2026-05-25 15:50:00,4566.3,4567.35,4565.96,4566.83,816,5,0
2026-05-25 15:55:00,4566.83,4568.81,4566.7,4567.72,1264,5,0
2026-05-25 16:00:00,4567.72,4567.84,4561.73,4564.61,3321,5,0
2026-05-25 16:05:00,4564.61,4571.48,4564.57,4568.54,1970,7,0
2026-05-25 16:10:00,4568.54,4568.64,4562.83,4564.53,1845,7,0
2026-05-25 16:15:00,4564.53,4564.53,4560.61,4562.1,1582,5,0
2026-05-25 16:20:00,4562.1,4564.67,4561.98,4563.51,1486,5,0
2026-05-25 16:25:00,4563.55,4563.94,4561.09,4561.93,1523,5,0
2026-05-25 16:30:00,4561.93,4564.5,4561.66,4564.33,2080,5,0
2026-05-25 16:35:00,4564.33,4565.64,4563.15,4564.39,1562,4,0
2026-05-25 16:40:00,4564.4,4565.67,4563.88,4565.17,1512,5,0
2026-05-25 16:45:00,4565.17,4565.42,4560.18,4561.65,1467,5,0
2026-05-25 16:50:00,4561.65,4563.5,4560.81,4563.44,1157,5,0
2026-05-25 16:55:00,4563.46,4564.97,4563.09,4563.17,1132,6,0
2026-05-25 17:00:00,4563.17,4567.35,4562.36,4567.09,1218,7,0
2026-05-25 17:05:00,4567.09,4569.94,4567.09,4569.7,1462,9,0
2026-05-25 17:10:00,4569.7,4570.1,4567.11,4567.82,1184,7,0
2026-05-25 17:15:00,4567.82,4569.0,4567.53,4568.48,928,5,0
2026-05-25 17:20:00,4568.48,4570.24,4567.76,4570.16,1074,5,0
2026-05-25 17:25:00,4570.16,4570.66,4567.44,4568.03,911,5,0
2026-05-25 17:30:00,4568.04,4568.41,4565.25,4567.92,1111,5,0
2026-05-25 17:35:00,4567.93,4568.52,4566.44,4567.72,751,5,0
2026-05-25 17:40:00,4567.72,4568.57,4566.57,4567.09,695,5,0
2026-05-25 17:45:00,4567.09,4568.47,4566.45,4568.28,969,5,0
2026-05-25 17:50:00,4568.28,4569.03,4565.79,4565.93,893,5,0
2026-05-25 17:55:00,4565.93,4567.04,4565.4,4566.85,928,8,0
2026-05-25 18:00:00,4566.85,4569.25,4566.6,4568.23,990,5,0
2026-05-25 18:05:00,4568.25,4568.25,4565.75,4566.8,938,5,0
2026-05-25 18:10:00,4566.8,4573.61,4566.14,4570.18,2726,5,0
2026-05-25 18:15:00,4570.2,4570.91,4568.07,4570.53,1120,9,0
2026-05-25 18:20:00,4570.53,4573.49,4570.29,4573.08,1366,7,0
2026-05-25 18:25:00,4573.05,4574.83,4571.67,4573.43,1623,7,0
2026-05-25 18:30:00,4573.44,4573.55,4570.16,4571.05,913,5,0
2026-05-25 18:35:00,4571.05,4571.22,4566.86,4568.83,1050,5,0
2026-05-25 18:40:00,4568.83,4569.64,4567.91,4569.07,636,5,0
2026-05-25 18:45:00,4569.07,4570.63,4568.85,4570.44,496,5,0
2026-05-25 18:50:00,4570.44,4572.55,4570.32,4571.99,667,5,0
2026-05-25 18:55:00,4571.99,4572.81,4570.7,4571.0,589,5,0
2026-05-25 19:00:00,4571.0,4571.27,4568.66,4569.46,815,5,0
2026-05-25 19:05:00,4569.46,4570.11,4569.04,4569.49,547,7,0
2026-05-25 19:10:00,4569.49,4570.85,4569.35,4570.67,553,7,0
2026-05-25 19:15:00,4570.67,4570.71,4568.83,4568.89,420,7,0
2026-05-25 19:20:00,4568.89,4570.43,4568.86,4569.75,448,6,0
2026-05-25 19:25:00,4569.75,4570.35,4568.14,4568.27,337,5,0
2026-05-25 19:30:00,4568.27,4570.19,4568.04,4570.19,566,7,0
2026-05-25 19:35:00,4570.19,4571.26,4569.88,4571.17,466,5,0
2026-05-25 19:40:00,4571.17,4572.41,4570.53,4572.18,580,7,0
2026-05-25 19:45:00,4572.18,4573.4,4571.81,4572.98,462,5,0
2026-05-25 19:50:00,4572.98,4574.65,4570.95,4570.95,607,9,0
2026-05-25 19:55:00,4570.95,4573.68,4570.95,4573.65,562,6,0
2026-05-25 20:00:00,4573.65,4576.67,4573.51,4575.77,505,5,0
2026-05-25 20:05:00,4575.77,4576.3,4574.37,4576.07,425,5,0
2026-05-25 20:10:00,4576.07,4577.93,4573.81,4574.17,832,8,0
2026-05-25 20:15:00,4574.17,4574.69,4573.7,4573.87,347,5,0
2026-05-25 20:20:00,4573.87,4574.05,4571.27,4571.43,384,5,0
2026-05-25 20:25:00,4571.43,4571.69,4570.37,4571.45,243,5,0
2026-05-25 20:30:00,4571.45,4571.5,4569.86,4569.87,229,5,0
2026-05-25 20:35:00,4569.87,4570.12,4567.78,4567.85,244,5,0
2026-05-25 20:40:00,4567.85,4568.21,4566.38,4566.82,456,9,0
2026-05-25 20:45:00,4566.82,4566.82,4563.4,4565.14,837,6,0
2026-05-25 20:50:00,4565.14,4565.36,4563.63,4564.53,285,5,0
2026-05-25 20:55:00,4564.53,4565.8,4564.04,4565.16,284,5,0
2026-05-25 21:00:00,4565.16,4569.19,4564.48,4569.18,479,5,0
2026-05-25 21:05:00,4569.14,4571.6,4568.18,4570.24,461,5,0
2026-05-25 21:10:00,4570.24,4570.77,4568.19,4569.29,298,5,0
2026-05-25 21:15:00,4569.29,4570.31,4568.91,4568.99,143,5,0
2026-05-25 21:20:00,4568.99,4570.77,4567.46,4567.78,311,5,0
2026-05-25 21:25:00,4567.78,4570.98,4567.45,4570.94,261,5,0
2026-05-26 01:00:00,4569.8,4573.3,4567.23,4571.1,1851,9,0
2026-05-26 01:05:00,4571.1,4573.07,4570.76,4572.66,798,9,0
2026-05-26 01:10:00,4572.66,4574.14,4572.22,4573.52,642,9,0
2026-05-26 01:15:00,4573.52,4575.34,4573.28,4573.97,651,9,0
2026-05-26 01:20:00,4573.97,4575.25,4573.07,4575.24,572,9,0
2026-05-26 01:25:00,4575.24,4575.57,4572.92,4573.24,701,8,0
2026-05-26 01:30:00,4573.24,4573.31,4571.11,4571.13,665,8,0
2026-05-26 01:35:00,4571.13,4573.47,4569.72,4572.84,616,8,0
2026-05-26 01:40:00,4572.84,4575.23,4571.84,4574.13,612,5,0
2026-05-26 01:45:00,4574.07,4575.37,4573.66,4573.98,473,5,0
2026-05-26 01:50:00,4573.98,4576.38,4573.95,4576.27,356,5,0
2026-05-26 01:55:00,4576.27,4576.61,4574.26,4575.02,701,5,0
2026-05-26 02:00:00,4575.02,4576.72,4574.03,4574.25,649,5,0
