time,open,high,low,close,tick_volume,spread,real_volume
2022-11-02 11:30:00,1638.58,1638.63,1636.75,1637.11,1397,4,0
2022-11-02 11:45:00,1637.12,1637.76,1636.03,1636.78,1257,0,0
2022-11-02 12:00:00,1636.81,1637.11,1634.46,1634.7,1384,0,0
2022-11-02 12:15:00,1634.7,1637.86,1633.44,1637.84,2051,0,0
2022-11-02 12:30:00,1637.84,1638.84,1636.36,1637.32,1760,0,0
2022-11-02 12:45:00,1637.34,1639.38,1637.14,1639.13,1524,0,0
2022-11-02 13:00:00,1639.13,1640.86,1639.09,1640.73,1687,1,0
2022-11-02 13:15:00,1640.73,1641.01,1638.86,1641.01,1469,0,0
2022-11-02 13:30:00,1641.02,1642.09,1640.12,1641.0,1497,0,0
2022-11-02 13:45:00,1640.98,1641.18,1637.76,1637.76,1331,0,0
2022-11-02 14:00:00,1637.78,1638.99,1637.2,1638.45,1099,0,0
2022-11-02 14:15:00,1638.48,1638.54,1637.03,1637.48,1082,0,0
2022-11-02 14:30:00,1637.54,1639.79,1637.14,1638.96,1528,0,0
2022-11-02 14:45:00,1639.07,1640.34,1638.88,1639.71,1632,0,0
2022-11-02 15:00:00,1639.68,1640.12,1638.28,1638.4,1130,0,0
2022-11-02 15:15:00,1638.39,1638.41,1637.18,1637.86,1152,0,0
2022-11-02 15:30:00,1637.85,1637.85,1636.53,1636.6,989,0,0
2022-11-02 15:45:00,1636.62,1637.34,1635.91,1636.78,927,3,0
2022-11-02 16:00:00,1636.76,1637.83,1636.34,1637.56,1088,0,0
2022-11-02 16:15:00,1637.54,1637.64,1635.68,1635.72,754,0,0
2022-11-02 16:30:00,1635.72,1635.92,1635.02,1635.49,820,2,0
2022-11-02 16:45:00,1635.47,1636.04,1635.18,1635.66,834,4,0
2022-11-02 17:00:00,1635.66,1636.41,1635.36,1635.72,803,3,0
2022-11-02 17:15:00,1635.68,1636.32,1635.42,1635.87,656,0,0
2022-11-02 17:30:00,1635.84,1636.49,1634.11,1634.78,939,0,0
2022-11-02 17:45:00,1634.82,1634.85,1633.34,1633.42,1038,3,0
2022-11-02 18:00:00,1633.42,1634.2,1632.6,1634.18,916,6,0
2022-11-02 18:15:00,1634.09,1634.24,1632.8,1633.09,883,3,0
2022-11-02 18:30:00,1633.06,1633.52,1631.81,1632.14,1291,1,0
2022-11-02 18:45:00,1632.18,1633.54,1632.18,1632.52,838,3,0
2022-11-02 19:00:00,1632.54,1633.33,1632.52,1632.72,349,6,0
2022-11-02 19:15:00,1632.71,1633.32,1632.63,1633.22,301,9,0
2022-11-02 19:30:00,1633.24,1633.68,1633.04,1633.56,357,2,0
2022-11-02 20:45:00,1632.66,1633.4,1632.6,1633.18,166,9,0
2022-11-02 21:00:00,1633.18,1633.67,1632.86,1633.66,167,9,0
2022-11-02 21:15:00,1633.66,1633.84,1633.26,1633.4,148,9,0
2022-11-02 21:30:00,1633.4,1633.58,1632.7,1632.7,166,9,0
2022-11-02 21:45:00,1632.7,1633.52,1632.48,1633.51,217,9,0
2022-11-02 22:00:00,1633.65,1633.72,1632.82,1633.0,231,9,0
2022-11-02 22:15:00,1633.0,1633.0,1631.8,1632.42,367,7,0
2022-11-02 22:30:00,1632.42,1632.82,1632.14,1632.52,289,8,0
2022-11-02 22:45:00,1632.57,1632.6,1630.74,1632.06,350,1,0
2022-11-02 23:00:00,1632.14,1632.98,1631.96,1632.81,354,8,0
2022-11-02 23:15:00,1632.76,1634.32,1632.76,1633.24,597,5,0
2022-11-02 23:30:00,1633.28,1634.22,1633.06,1633.92,480,9,0
2022-11-02 23:45:00,1633.89,1635.24,1633.72,1634.82,598,5,0
2022-11-03 00:00:00,1634.9,1636.14,1633.36,1635.88,1110,7,0
2022-11-03 00:15:00,1635.88,1638.54,1635.88,1637.47,1020,1,0
2022-11-03 00:30:00,1637.42,1638.36,1636.62,1637.3,947,0,0
2022-11-03 00:45:00,1637.32,1638.06,1636.66,1637.55,715,3,0
2022-11-03 01:00:00,1637.55,1639.08,1637.04,1638.74,643,0,0
2022-11-03 01:15:00,1638.74,1640.12,1638.58,1638.68,823,3,0
2022-11-03 01:30:00,1638.76,1639.25,1638.22,1638.78,674,9,0
2022-11-03 01:45:00,1638.78,1639.94,1637.68,1638.01,759,0,0
2022-11-03 02:00:00,1638.02,1638.45,1637.64,1637.78,618,9,0
2022-11-03 02:15:00,1637.78,1638.24,1637.02,1637.32,818,6,0
2022-11-03 02:30:00,1637.32,1637.58,1635.72,1637.55,577,5,0
2022-11-03 02:45:00,1637.58,1638.09,1636.52,1637.84,590,4,0
2022-11-03 03:00:00,1637.83,1638.62,1637.14,1638.11,542,2,0
2022-11-03 03:15:00,1638.11,1638.34,1637.32,1637.78,430,8,0
2022-11-03 03:30:00,1637.78,1638.09,1637.54,1637.94,395,9,0
2022-11-03 03:45:00,1637.92,1638.7,1637.72,1638.23,549,4,0
2022-11-03 04:00:00,1638.25,1639.35,1638.16,1638.52,515,0,0
2022-11-03 04:15:00,1638.52,1640.07,1638.09,1640.04,828,8,0
2022-11-03 04:30:00,1640.09,1642.13,1640.07,1641.89,1281,3,0
2022-11-03 04:45:00,1641.92,1643.7,1641.47,1643.24,1057,1,0
2022-11-03 05:00:00,1643.31,1643.86,1642.57,1642.72,1038,0,0
2022-11-03 05:15:00,1642.74,1645.02,1642.74,1644.8,1014,2,0
2022-11-03 05:30:00,1644.82,1647.36,1644.13,1647.2,1053,0,0
2022-11-03 05:45:00,1647.12,1649.78,1646.99,1649.54,1263,5,0
2022-11-03 06:00:00,1649.52,1649.9,1643.04,1644.16,1501,0,0
2022-11-03 06:15:00,1644.23,1645.62,1642.52,1642.66,1265,0,0
2022-11-03 06:30:00,1642.65,1645.34,1642.34,1645.3,1167,0,0
2022-11-03 06:45:00,1645.34,1648.66,1645.28,1648.17,1523,0,0
2022-11-03 07:00:00,1648.17,1648.41,1646.48,1647.3,1217,0,0
2022-11-03 07:15:00,1647.3,1648.06,1646.48,1647.5,1041,1,0
2022-11-03 07:30:00,1647.48,1648.34,1646.08,1647.49,1121,0,0
2022-11-03 07:45:00,1647.52,1647.66,1646.06,1646.31,1028,0,0
2022-11-03 08:00:00,1646.38,1647.09,1645.61,1646.97,978,0,0
